Season,# of Blowouts,Total Games,Blowout %
2011,134,1230,0.10894308943089431
2012,131,990,0.13232323232323231
2013,161,1229,0.13100081366965013
2014,159,1230,0.12926829268292683
2015,155,1230,0.12601626016260162
2016,144,1230,0.11707317073170732
2017,164,1230,0.13333333333333333
2018,154,1230,0.12520325203252033
2019,196,1230,0.15934959349593497
2020,151,1059,0.14258734655335223
2021,183,1080,0.16944444444444445
2022,209,1230,0.16991869918699187
